,id,name,host_id,host_profile_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
200,376740,Stay in the guest room and get the whole house!,1803588.0,1.462520467032946e+18,Todd,Other Cities,Hermosa Beach,33.85446,-118.39645,Private room,,2.0,399,2026-05-31,2.3,2.0,0,24,
400,1290697,1920s Hollywood 3BR with Jacuzzi and private yard!,7018329.0,1.4627213678903877e+18,Jill Armenante,City of Los Angeles,Larchmont,34.07926,-118.32069,Entire home/apt,,30.0,10,2016-01-01,0.07,1.0,0,0,HSR20-000271
600,1589503,LIVE IN A HOCKNEY PAINTING #2 TOP OF LAUREL CANYON,92003.0,1.4625093775657615e+18,Rosalee,City of Los Angeles,Hollywood Hills West,34.11259,-118.38873,Private room,94.0,30.0,38,2025-06-04,0.25,3.0,335,0,Exempt - This listing is a hotel or motel
800,1786575,Sunny House minutes from the beach!,9376474.0,1.4628125104460419e+18,Thomas,City of Los Angeles,Westchester,33.97297,-118.38414,Entire home/apt,1001.0,1.0,155,2026-06-14,1.02,2.0,70,9,HSR19-000112
1000,2694910,PRIVATE ROOM IN 2 BDR APT (FEMALE ONLY),13682855.0,1.4629191116068897e+18,Pedro,City of Los Angeles,Sawtelle,34.04892,-118.46016,Private room,,30.0,14,2019-04-05,0.12,3.0,0,0,
1200,3742328,Pool View Completely Detached Studio in the Valley,19137950.0,1.463070454165643e+18,Margaux,City of Los Angeles,North Hollywood,34.1856,-118.39612,Entire home/apt,118.0,30.0,127,2026-05-01,1.11,2.0,250,4,HSR20-000603
1400,4623562,Garden Casita Retreat w/ private bathroom,5154680.0,1.4626741055414449e+18,Kathy,City of Los Angeles,Beverly Grove,34.0786,-118.36687,Private room,101.0,30.0,118,2025-12-16,0.87,3.0,207,1,HSR19-002896
1600,5617409,Charming Silver Lake Cottage,28398362.0,1.465419212605861e+18,Nicole,City of Los Angeles,Echo Park,34.08283,-118.2687,Entire home/apt,315.0,6.0,121,2026-06-03,0.89,1.0,62,14,HSR22-004301
1800,7180285,"NICE! 2 Bedrooms w/ Queen Beds & Bath, 1-4 people",30415099.0,1.462651471734861e+18,Jim,City of Los Angeles,Woodland Hills,34.1562,-118.61674,Private room,100.0,30.0,55,2020-11-19,0.41,1.0,71,0,HSR19-000313
2000,7385035,"Visit Malls and Spas From a  Cozy Townhouse
 Near Pasadena",5068133.0,1.4626720514583575e+18,⁨Niroo( Knee- Roo)⁩,Other Cities,Arcadia,34.12789,-118.06094,Private room,91.0,9.0,60,2025-10-30,0.47,2.0,276,2,
